SourceName	Characteristics [InitialTimePoint]	Characteristics [Organism]	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Characteristics [DevelopmentalStage]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Parameter Value [temperature]	Unit [TemperatureUnit]	Parameter Value [time]	Unit [TimeUnit]	Parameter Value [Volume]	Unit [VolumeUnit]	Parameter Value [Chamber type]	Parameter Value [Quantity of label target used]	Unit [MassUnit]	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Scan Name	FileNameCy3	FileNameCy5	FileName	Parameter Value [Label used]	Comment [ArrayExpress FTP file]
BobwhiteFlagLeaf_1-1	pollination	Triticum aestivum	flag leaf	frozen_sample	ear emergence	P-MEXP-32171	BobwhiteFlagLeaf_1-1	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_1-1	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_1-1	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_8-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	-5	d	H_BobwhiteFlagLeaf_8-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_1-1	BobwhiteFlagLeaf_8-2	array08.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_1-2	pollination	Triticum aestivum	flag leaf	frozen_sample	ear emergence	P-MEXP-32171	BobwhiteFlagLeaf_1-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_1-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_1-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_1-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	-5	d	H_BobwhiteFlagLeaf_1-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_1-2	BobwhiteFlagLeaf_2-1	array01.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_1-3	pollination	Triticum aestivum	flag leaf	frozen_sample	ear emergence	P-MEXP-32171	BobwhiteFlagLeaf_1-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_1-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_1-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_6-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	-5	d	H_BobwhiteFlagLeaf_6-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_1-3	BobwhiteFlagLeaf_6-4	array14.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_1-4	pollination	Triticum aestivum	flag leaf	frozen_sample	ear emergence	P-MEXP-32171	BobwhiteFlagLeaf_1-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_1-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_1-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_1-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	-5	d	H_BobwhiteFlagLeaf_1-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_1-4	BobwhiteFlagLeaf_4-3	array09.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_2-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_2-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_2-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_2-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_2-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	0	d	H_BobwhiteFlagLeaf_2-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_2-2	BobwhiteFlagLeaf_3-1	array02.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_2-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_2-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_2-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_2-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_7-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	0	d	H_BobwhiteFlagLeaf_7-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_2-3	BobwhiteFlagLeaf_7-4	array15.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_2-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_2-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_2-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_2-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_2-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	0	d	H_BobwhiteFlagLeaf_2-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_2-4	BobwhiteFlagLeaf_5-3	array10.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_3-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_3-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_3-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_3-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_3-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	10	d	H_BobwhiteFlagLeaf_3-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_3-2	BobwhiteFlagLeaf_4-1	array03.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_3-3	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_3-3	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_3-3	polyA_RNA	P-MEXP-9249	none	Cy5	L_BobwhiteFlagLeaf_3-3	Cy5	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_8-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	10	d	H_BobwhiteFlagLeaf_8-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_3-3	BobwhiteFlagLeaf_8-4	array16.txt	Cy5	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_3-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_3-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_3-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_3-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_3-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	10	d	H_BobwhiteFlagLeaf_3-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_3-4	BobwhiteFlagLeaf_6-3	array11.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_4-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_4-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_4-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_4-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_4-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	20	d	H_BobwhiteFlagLeaf_4-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_4-2	BobwhiteFlagLeaf_5-1	array04.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_4-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_4-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_4-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_4-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	20	d	H_BobwhiteFlagLeaf_4-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_4-4	BobwhiteFlagLeaf_7-3	array12.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_5-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_5-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_5-2	BobwhiteFlagLeaf_6-1	array05.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_5-4	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_5-4	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_5-4	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_5-4	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	25	d	H_BobwhiteFlagLeaf_5-4_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_5-4	BobwhiteFlagLeaf_8-3	array13.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
BobwhiteFlagLeaf_6-2	pollination	Triticum aestivum	flag leaf	frozen_sample	  	P-MEXP-32171	BobwhiteFlagLeaf_6-2	P-MEXP-9247	none	polyA RNA	E_BobwhiteFlagLeaf_6-2	polyA_RNA	P-MEXP-9248	none	Cy3	L_BobwhiteFlagLeaf_6-2	Cy3	polyA_RNA	P-MEXP-9250	42	degree_C	16	h	40	uL	GenPak- Genpak hyb chamber and solution	999	ng	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	A-MEXP-556	P-MEXP-9251	30	d	H_BobwhiteFlagLeaf_6-2_BobwhiteFlagLeaf_	BobwhiteFlagLeaf_6-2	BobwhiteFlagLeaf_7-1	array06.txt	Cy3	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-850/E-MEXP-850.raw.1.zip
